Month,Arrivals_Delayed
Jan-04,6996.0
Feb-04,5166.0
Mar-04,4768.0
Apr-04,5429.0
May-04,4540.0
Jun-04,6133.0
Jul-04,8532.0
Aug-04,7495.0
Sep-04,9165.0
Oct-04,9738.0
Nov-04,7643.0
Dec-04,9987.0
Jan-05,6724.0
Feb-05,7550.0
Mar-05,7474.0
Apr-05,7316.0
May-05,7118.0
Jun-05,11009.0
Jul-05,9819.0
Aug-05,8400.0
Sep-05,8684.0
Oct-05,10276.0
Nov-05,9954.0
Dec-05,10425.0
Jan-06,7972.0
Feb-06,6523.0
Mar-06,7150.0
Apr-06,8149.0
May-06,7255.0
Jun-06,11492.0
Jul-06,11734.0
Aug-06,7400.0
Sep-06,8770.0
Oct-06,7089.0
Nov-06,10250.0
Dec-06,9790.0
Jan-07,6784.0
Feb-07,7488.0
Mar-07,9496.0
Apr-07,7031.0
May-07,8259.0
Jun-07,14720.0
Jul-07,14836.0
Aug-07,11847.0
Sep-07,12089.0
Oct-07,14720.0
Nov-07,15444.0
Dec-07,16871.0
Jan-08,13358.0
Feb-08,15766.0
Mar-08,12691.0
Apr-08,15710.0
May-08,12769.0
Jun-08,19240.0
Jul-08,22422.0
Aug-08,17719.0
Sep-08,16341.0
Oct-08,17976.0
Nov-08,17397.0
Dec-08,15751.0
Jan-09,9648.0
Feb-09,11176.0
Mar-09,9652.0
Apr-09,11611.0
May-09,9053.0
Jun-09,13111.0
Jul-09,11863.0
Aug-09,10454.0
Sep-09,12662.0
Oct-09,12014.0
Nov-09,11519.0
Dec-09,10600.0
Jan-10,8094.0
Feb-10,10875.0
Mar-10,12114.0
Apr-10,9994.0
May-10,10969.0
Jun-10,13735.0
Jul-10,16741.0
Aug-10,13844.0
Sep-10,15274.0
Oct-10,15974.0
Nov-10,15020.0
Dec-10,20719.0
Jan-11,15275.0
Feb-11,17806.0
Mar-11,18222.0
Apr-11,16195.0
May-11,13410.0
Jun-11,14563.510740599999
Jul-11,18563.0
Aug-11,13894.0
Sep-11,13127.0
Oct-11,15991.0
Nov-11,16012.0
Dec-11,15095.0
Jan-12,14499.0
Feb-12,14140.0
Mar-12,18074.0
Apr-12,15266.0
May-12,12873.0
Jun-12,15415.0
Jul-12,19043.0
Aug-12,16559.0
Sep-12,17239.0
Oct-12,16610.0
Nov-12,18476.0
Dec-12,18493.0
Jan-13,17483.0
Feb-13,19465.0
Mar-13,18717.0
Apr-13,15209.0
May-13,14848.0
Jun-13,17305.0
Jul-13,21027.0
Aug-13,16429.0
Sep-13,16360.0
Oct-13,20508.0
Nov-13,18276.0
Dec-13,15219.0
Jan-14,10012.0
Feb-14,9230.0
Mar-14,15077.0
Apr-14,15246.0
May-14,11113.0
Jun-14,15368.0
Jul-14,15959.0
Aug-14,14655.0
Sep-14,11596.0
Oct-14,12361.0
Nov-14,12340.0
Dec-14,16451.0
Jan-15,10982.0
Feb-15,9841.0
Mar-15,11087.0
Apr-15,15055.0
May-15,11248.0
Jun-15,10003.0
Jul-15,15508.0
Aug-15,9138.0
Sep-15,10128.0
Oct-15,11895.0
Nov-15,14658.0
Dec-15,13985.0
Jan-16,13121.0
Feb-16,7852.0
Mar-16,12930.0
Apr-16,9418.0
May-16,10379.0
Jun-16,14305.0
Jul-16,20323.0
Aug-16,10980.0
Sep-16,14614.0
Oct-16,16096.0
Nov-16,16724.0
Dec-16,17481.0
Jan-17,10472.0
Feb-17,13306.0
Mar-17,20134.0
Apr-17,12093.0
May-17,10484.0
Jun-17,12201.0
Jul-17,18592.0
Aug-17,15530.0
Sep-17,17707.0
Oct-17,18289.0
Nov-17,16882.0
Dec-17,17280.0
Jan-18,12422.0
Feb-18,11871.0
Mar-18,15235.0
Apr-18,14030.0
May-18,12545.0
Jun-18,18631.0
Jul-18,23094.0
Aug-18,17063.0
Sep-18,14748.0
Oct-18,20410.0
Nov-18,21226.0
Dec-18,20786.0
Jan-19,13031.0
Feb-19,13036.0
Mar-19,18408.0
Apr-19,14970.0
May-19,14159.0
Jun-19,17423.0
Jul-19,23652.0
Aug-19,20302.0
Sep-19,20423.0
Oct-19,20997.0
Nov-19,21459.0
Dec-19,22591.0
Jan-20,20885.0
Feb-20,19006.0
Mar-20,10115.0
Apr-20,532.0
May-20,355.0
Jun-20,816.0
Jul-20,1894.0
Aug-20,1741.0
Sep-20,1522.0
Oct-20,1884.0
Nov-20,2720.0
Dec-20,7095.0
Jan-21,3995.0
Feb-21,3294.0
Mar-21,7818.0
Apr-21,9409.0
May-21,10445.0
Jun-21,7858.0
Jul-21,4395.0
Aug-21,2141.0
Sep-21,1939.0
Oct-21,2773.0
Nov-21,4195.0
Dec-21,9107.0
Jan-22,7279.0
Feb-22,7625.0
Mar-22,14372.0
Apr-22,28532.0
May-22,28198.0
Jun-22,28369.0
Jul-22,34461.0
Aug-22,23852.0
Sep-22,23419.0
Oct-22,23376.0
Nov-22,25574.0
Dec-22,22553.0
Jan-23,18141.0
Feb-23,18961.0
Mar-23,23462.0
Apr-23,22144.0
May-23,21073.0
Jun-23,24378.0
Jul-23,25943.0
Aug-23,22671.0
Sep-23,22468.0
Oct-23,23957.0
Nov-23,28763.0
Dec-23,28910.0
Jan-24,21565.0
Feb-24,20445.0
Mar-24,18574.0
Apr-24,17090.0
May-24,17280.0
Jun-24,18165.0
Jul-24,24766.0
Aug-24,22122.0
Sep-24,20049.0
